estilo_id	nome_estilo	fonte_nome	fonte_tamanho	alinhamento	recuo_primeira_linha	espacamento_antes	espacamento_depois	espacamento_entre_linhas	negrito	italico	sublinhado	cor_fonte	observacoes	codigo_visual
17	Resumo - Título	Arial	12	Centralizado	0	0	1.5	1.5	True	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: center; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 0cm; color: black; font-weight: bold;"></span>
18	Resumo - Texto	Arial	12	Justificado	1.25	0	1.5	1.5	False	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: justify; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 1.25cm; color: black;"></span>
19	Resumo - Palavras-chave	Arial	12	Justificado	1.25	0	1.5	1.5	False	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: justify; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 1.25cm; color: black;"></span>
20	Abstract - Título	Arial	12	Centralizado	0	0	1.5	1.5	True	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: center; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 0cm; color: black; font-weight: bold;"></span>
21	Abstract - Texto	Arial	12	Justificado	1.25	0	1.5	1.5	False	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: justify; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 1.25cm; color: black;"></span>
22	Abstract - Keywords	Arial	12	Justificado	1.25	0	1.5	1.5	False	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: justify; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 1.25cm; color: black;"></span>
23	Sumário - Título	Arial	12	Centralizado	0	0	1.5	1.5	True	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: center; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 0cm; color: black; font-weight: bold;"></span>
24	Sumário - Item	Arial	12	Esquerda	0	0	1.5	1.5	False	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: left; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 0cm; color: black;"></span>
25	Título 1	Arial	12	Esquerda	0	0	1.5	1.5	True	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: left; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 0cm; color: black; font-weight: bold;"></span>
26	Título 2	Arial	12	Esquerda	0	0	1.5	1.5	False	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: left; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 0cm; color: black;"></span>
27	Título 3	Arial	12	Esquerda	0	0	1.5	1.5	False	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: left; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 0cm; color: black;"></span>
28	Título 4	Arial	12	Esquerda	0	0	1.5	1.5	False	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: left; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 0cm; color: black;"></span>
29	Parágrafo	Arial	12	Justificado	1.25	0	1.5	1.5	False	False	False	Preto		<span style="font-family: 'Arial'; font-size: 12pt; text-align: justify; line-height: 1.5; margin-top: 0em; margin-bottom: 1.5em; text-indent: 1.25cm; color: black;"></span>
30	Citação Longa	Arial	10	Justificado	4	0	1	1	False	False	False	Preto	Recuo de 4cm da margem esquerda	<span style="font-family: 'Arial'; font-size: 10pt; text-align: justify; line-height: 1; margin-top: 0em; margin-bottom: 1em; text-indent: 4cm; color: black;"></span>
31	Referência	Arial	12	Esquerda	0	0	1	1	False	False	False	Preto	Espaçamento simples entre linhas e duplo entre referências	<span style="font-family: 'Arial'; font-size: 12pt; text-align: left; line-height: 1; margin-top: 0em; margin-bottom: 1em; text-indent: 0cm; color: black;"></span>
