Ordem	item_entrega	Entrega	Subitem	Competência	Item_rubrica	Rubrica de Avaliação	Gestão Acadêmica	Gestão do TCC	Pesquisa Acadêmica	Formatação e Apresentação	Documentação de Software	Gestão da Proposta	Pesquisa Científica	Desenvolvimento de Software	Aplicação no projeto
11	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.5	 Garantir que a escrita não contém erros de pontuação	8	6	4	7	5	2	3	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
12	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.2	 Garantir que a estruturação da escrita geral facilita a compreensão.	2	6	3	8	7	5	4	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
13	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.6	 Criar estratégia para que o texto seja organizado	2	7	6	5	8	3	7	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
14	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.10	Criar estratégia para que o texto tenha sempre articulação entre as partes	2	6	7	5	8	3	4	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
15	1.0	Entrega 1 - Projeto	1.3	Cronograma	1.3.1	 Elaborar um cronograma robusto	5	8	3	1	2	7	4	6	A Gestão do TCC é responsável por elaborar e manter um cronograma robusto, detalhando materiais, recursos e prazos para todas as etapas da pesquisa e desenvolvimento.
16	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.11	Apresentar propositalmente sentido e articulação na integralidade do texto	2	7	6	4	8	3	5	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
17	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.12	Escrever todas as citações e referências bibliográficas na norma ABNT	2	7	4	8	6	5	3	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
18	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.3	 Garantir que a escrita não contém erros de ortografia	8	6	4	7	5	2	3	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
19	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.4	 Garantir que a escrita não contém erros de gramática	8	6	4	7	5	2	3	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
20	1.0	Entrega 1 - Projeto	1.3	Cronograma	1.3.2	 Destacar os materiais	2	6	3	8	1	5	4	7	A Gestão do TCC é responsável por elaborar e manter um cronograma robusto, detalhando materiais, recursos e prazos para todas as etapas da pesquisa e desenvolvimento.
21	1.0	Entrega 1 - Projeto	1.3	Cronograma	1.3.5	 Indicar adequadamente como a pesquisa ocorrerá	1	6	5	3	4	7	8	2	A Gestão do TCC é responsável por elaborar e manter um cronograma robusto, detalhando materiais, recursos e prazos para todas as etapas da pesquisa e desenvolvimento.
22	1.0	Entrega 1 - Projeto	1.4	Inovação	1.4.1	 Empregar habilidades e estratégias para criar soluções profissionais inovadoras 	4	3	6	2	1	5	7	8	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
23	1.0	Entrega 1 - Projeto	1.3	Cronograma	1.3.3	 Destacar recursos (humanos) - Responsáveis por cada atividade	6	8	3	1	2	7	4	5	A Gestão do TCC é responsável por elaborar e manter um cronograma robusto, detalhando materiais, recursos e prazos para todas as etapas da pesquisa e desenvolvimento.
24	1.0	Entrega 1 - Projeto	1.3	Cronograma	1.3.4	 Especificar limites de datas	5	8	3	1	2	7	4	6	A Gestão do TCC é responsável por elaborar e manter um cronograma robusto, detalhando materiais, recursos e prazos para todas as etapas da pesquisa e desenvolvimento.
25	1.0	Entrega 1 - Projeto	1.4	Inovação	1.4.2	 Contribuir com responsabilidade para inovar (no processo de TCC)	3	8	5	1	2	4	7	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
26	1.0	Entrega 1 - Projeto	1.4	Inovação	1.4.4	 Buscar inovações de formatação (no processo de TCC)	6	5	2	8	7	4	1	3	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
27	1.0	Entrega 1 - Projeto	1.4	Inovação	1.4.5	 Buscar inovações de escrita no processo de TCC	3	7	5	8	2	7	6	4	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
28	1.0	Entrega 1 - Projeto	1.4	Inovação	1.4.9	 Compreender o risco como tentativa de inovar, independente de sucesso	1	4	3	2	5	8	7	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
29	1.0	Entrega 1 - Projeto	1.4	Inovação	1.4.6	 Buscar inovações na relação entre as pessoas	1	8	4	6	5	7	4	1	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
30	1.0	Entrega 1 - Projeto	1.4	Inovação	1.4.7	 Buscar inovar na análise de dados do trabalho que foi proposto, a partir conhecimento adquirido durante o curso	3	5	7	1	2	4	8	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
31	1.0	Entrega 1 - Projeto	1.4	Inovação	1.4.10	Se comprometer mais com os riscos para testar uma inovação para o trabalho	1	3	4	2	5	8	7	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
32	1.0	Entrega 1 - Projeto	1.5	Investigativa	1.5.1	 Empregar habilidades para conciliar a teoria acadêmica com problema real	1	5	8	2	3	6	7	5	A Pesquisa Acadêmica e a Pesquisa Científica trabalham para conciliar a teoria com a prática, delimitando o escopo e selecionando os métodos mais adequados para a resolução do problema.
33	1.0	Entrega 1 - Projeto	1.4	Inovação	1.4.3	 Contribuir com responsabilidade na análise de dados da solução/pesquisa (no processo de TCC)	1	2	4	3	6	5	7	8	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
34	1.0	Entrega 1 - Projeto	1.4	Inovação	1.4.8	 Assumir riscos	1	4	3	2	5	8	7	6	Os times de Desenvolvimento de Software e Pesquisa Científica buscam ativamente soluções inovadoras e assumem riscos calculados para aprimorar o projeto, tanto na metodologia quanto na implementação.
35	1.0	Entrega 1 - Projeto	1.5	Investigativa	1.5.2	 Restringir, Não deixar abrangente	1	2	6	3	5	8	4	1	A Pesquisa Acadêmica e a Pesquisa Científica trabalham para conciliar a teoria com a prática, delimitando o escopo e selecionando os métodos mais adequados para a resolução do problema.
36	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.1	 Apresentar a competência de escolha e desenvolvimento do método	1	2	8	3	4	6	5	1	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
37	1.0	Entrega 1 - Projeto	1.5	Investigativa	1.5.3	 O grupo escolheu o método adequado e/ou combinou alguns métodos disponíveis	1	3	8	2	4	6	7	5	A Pesquisa Acadêmica e a Pesquisa Científica trabalham para conciliar a teoria com a prática, delimitando o escopo e selecionando os métodos mais adequados para a resolução do problema.
38	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.3	 Escolher um ou mais métodos adequados	1	2	8	3	4	6	7	5	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
39	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.2	 Apresentar o processo de escolha ou combinação dos métodos	1	2	8	3	4	6	7	5	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
40	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.5	 Utilizar (deixar claro) referencial de fontes confiáveis	1	2	7	4	6	5	8	3	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
41	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.6	 Adaptar os métodos a partir da sua capacidade de análise, criação e ajustes a uma realidade apresentada	1	3	4	2	5	8	7	6	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
42	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.8	 Dar contribuições ao texto original	2	3	8	4	7	1	1	7	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
43	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.11	Eliminar redundâncias de conteúdo (com a parte introdutória do texto)	2	4	8	6	7	3	5	1	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
44	1.0	Entrega 1 - Projeto	1.7	Profissional / Referencial teórico	1.7.1	 Relacionar conhecimentos desenvolvidos com o curso	4	5	8	3	2	6	5	3	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
45	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.4	 Pesquisar além da literatura (convencional)	1	2	6	3	7	5	8	4	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
46	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.10	Ater-se ao tema	1	3	6	7	8	4	5	2	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
47	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.7	" Pesquisar ""mais"" sobre o assunto"	1	3	6	2	8	4	7	5	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
48	1.0	Entrega 1 - Projeto	1.6	Método/Métodos	1.6.9	 Demonstrar compreensão do método como um caminho para um fim determinado	1	2	8	3	5	7	6	4	A Pesquisa Acadêmica e a Pesquisa Científica demonstram competência na escolha, desenvolvimento e adaptação de métodos, utilizando fontes confiáveis e contribuindo para o texto original do TCC.
49	1.0	Entrega 1 - Projeto	1.7	Profissional / Referencial teórico	1.7.4	 Não ser redundante com a parte introdutória do texto	2	4	8	6	7	3	5	1	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
50	1.0	Entrega 1 - Projeto	1.7	Profissional / Referencial teórico	1.7.6	 Pesquisar além da literatura apresentada em fontes confiáveis (Pesquisar mais sobre o assunto)	1	2	4	3	7	5	8	6	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
51	1.0	Entrega 1 - Projeto	1.7	Profissional / Referencial teórico	1.7.8	 Adaptar os métodos a partir da sua capacidade de análise, criação e ajustes a uma realidade apresentada	1	2	4	3	6	5	7	8	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
52	1.0	Entrega 1 - Projeto	1.8	Resolução de problemas / Objetivo geral / Objetivos específicos / Desenvolvimento	1.8.1	 Empregar habilidades para entender e resolver problemas de um cenário profissional	3	4	6	1	2	5	7	8	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
53	1.0	Entrega 1 - Projeto	1.7	Profissional / Referencial teórico	1.7.5	 Escolher e/ou combinar métodos adequados disponíveis	1	4	3	2	5	8	7	6	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
54	1.0	Entrega 1 - Projeto	1.7	Profissional / Referencial teórico	1.7.7	 Dar contribuições ao texto original (ampliar compreensão sobre o tema)	1	2	7	3	6	5	8	4	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
55	1.0	Entrega 1 - Projeto	1.7	Profissional / Referencial teórico	1.7.2	 Empregar habilidades de relacionar os conhecimentos desenvolvidos no curso com o campo profissional	3	4	6	1	2	5	7	8	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
56	1.0	Entrega 1 - Projeto	1.7	Profissional / Referencial teórico	1.7.3	 Não fugir do tema	4	8	6	1	2	7	5	3	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
57	1.0	Entrega 1 - Projeto	1.7	Profissional / Referencial teórico	1.7.9	 Evidenciar compreensão do método como um caminho para um fim determinado.	1	3	4	2	6	8	7	5	A Pesquisa Acadêmica e a Pesquisa Científica relacionam os conhecimentos do curso com o cenário profissional, aprofundando o referencial teórico e mantendo o foco no tema do TCC.
58	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.1	 Desenvolver o problema solucionado (justificativa)	1	3	4	2	5	8	7	6	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
59	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.2	 Descrever os desafios para a solução	1	2	4	3	8	6	5	7	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
60	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.7	 Apresentar múltiplos objetivos complementares	3	8	6	1	2	7	5	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
61	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.8	 Apresentar os problemas de forma abrangente (não parte dele)	1	3	6	2	5	8	7	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
62	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.10	Apresentar de forma clara e completa as contribuições do trabalho realizado	3	6	8	1	2	5	7	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
63	1.0	Entrega 1 - Projeto	1.1	Tecnológica	1.10.1	Usar tecnologia para solucionar problemas	3	4	6	1	2	5	7	8	O time de Desenvolvimento de Software aplica tecnologias relevantes para solucionar os problemas do projeto, garantindo a implementação eficaz das soluções propostas.
64	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.3	 Descrever claramente os objetivos	3	8	6	1	2	7	5	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
65	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.4	 Distinguir os objetivos gerais dos específicos	3	8	6	1	2	7	5	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
66	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.5	 Deve haver mais de um objetivo complementar	3	8	6	1	2	7	5	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
67	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.6	 Apresentar um objetivo geral	3	8	6	1	2	7	5	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
68	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.9	 Apresentar claramente e completa as limitações do trabalho realizado	1	3	4	2	5	8	7	6	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
69	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.11	Apresentar clareza na formulação do problema/solução científica	3	6	8	1	2	5	7	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
70	1.0	Entrega 1 - Projeto	1.9	Resolução de problemas / Objetivo geral / Objetivos específicos /Desenvolvimento	1.9.12	Apresentar clareza no desenvolvimento do problema/solução científica	3	6	8	1	2	5	7	4	A Gestão do TCC e o Desenvolvimento de Software trabalham na formulação e resolução do problema central do projeto, descrevendo desafios, objetivos e as contribuições e limitações da solução proposta.
71	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.1	 Empregar habilidades para comunicar-se utilizando as variadas linguagens	2	7	4	8	3	6	5	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
72	2.0	Entrega 2 - Desenvolvimento	2.1	Colaborativa	2.1.6	 Individual: Contribuir com qualidade	2	8	5	1	4	3	6	7	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
73	2.0	Entrega 2 - Desenvolvimento	2.1	Colaborativa	2.1.4	 Individual: contribuir com trabalhos entregues	2	8	4	1	3	6	5	7	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
74	2.0	Entrega 2 - Desenvolvimento	2.1	Colaborativa	2.1.5	 Individual: Contribuiu entregando o combinado de forma completa	2	8	3	1	5	6	4	7	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
75	2.0	Entrega 2 - Desenvolvimento	2.1	Colaborativa	2.1.1	 Individual: Contribuir para a construção conjunta buscando objetivos comuns	3	8	4	1	2	7	5	6	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
76	2.0	Entrega 2 - Desenvolvimento	2.1	Colaborativa	2.1.2	 Individual: se integrar com o grupo	3	8	4	1	2	7	5	6	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
77	2.0	Entrega 2 - Desenvolvimento	2.1	Colaborativa	2.1.3	 Individual: participar de todas as reuniões	6	8	3	1	2	7	4	5	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
78	2.0	Entrega 2 - Desenvolvimento	2.1	Colaborativa	2.1.7	 Individual: Ser pontual, respeitando o prazo/tempo combinado	5	8	3	1	2	7	4	6	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
79	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.1	 Empregar habilidades para comunicar-se utilizando as variadas linguagens	2	7	4	8	3	6	5	1	Descrição da aplicação no projeto a ser definida.
80	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.7	 Criar estratégia para que o texto seja coerente, sem trechos incoerentes	2	6	3	8	7	5	4	1	Descrição da aplicação no projeto a ser definida.
81	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.8	 Criar estratégia para que o texto apresente sentido 	2	6	3	8	7	5	4	1	Descrição da aplicação no projeto a ser definida.
82	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.9	 Criar estratégia para que o texto seja bem estruturado	2	6	3	8	7	5	4	1	Descrição da aplicação no projeto a ser definida.
83	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.5	 Garantir que a escrita não contém erros de pontuação	8	6	4	7	5	2	3	1	Descrição da aplicação no projeto a ser definida.
84	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.2	 Garantir que a estruturação da escrita geral facilita a compreensão.	2	6	3	8	7	5	4	1	Descrição da aplicação no projeto a ser definida.
85	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.6	 Criar estratégia para que o texto seja organizado	2	6	3	8	7	5	4	1	Descrição da aplicação no projeto a ser definida.
86	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.10	Criar estratégia para que o texto tenha sempre articulação entre as partes	2	6	3	8	7	5	4	1	Descrição da aplicação no projeto a ser definida.
87	2.0	Entrega 2 - Desenvolvimento	2.3	Considerações finais	2.3.1	 Apresentar claramente as contribuições do trabalho realizado	3	6	8	1	2	5	7	4	Descrição da aplicação no projeto a ser definida.
88	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.11	Apresentar propositalmente sentido e articulação na integralidade do texto	2	6	3	8	7	5	4	1	Descrição da aplicação no projeto a ser definida.
89	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.12	Escrever todas as citações e referências bibliográficas na norma ABNT	6	7	4	8	2	3	5	1	Descrição da aplicação no projeto a ser definida.
90	2.0	Entrega 2 - Desenvolvimento	2.2	Comunicação / Linguagem	2.2.3	 Garantir que a escrita não contém erros de ortografia	8	6	4	7	5	2	3	1	Descrição da aplicação no projeto a ser definida.
