Data	Canal	Evento	Responsável	Observações	Função
12/08/2025 09:25	Fórum AVA	Fórum geral - Resposta Elysio	Elysio	Olá, Orientadora Marina Schimidt! Obrigado pelo contato e desculpe pela demora para responder! Sou Elysio e estou no último semestre de BCD do Polo Butantã - São Paulo. Faço estágio remoto para um advogado e só terei que fazer a disciplina eletiva no bimestre que vem. Até lá, tenho alguma disponibilidade para dedicar-me ao TCC no que o grupo considerar relevante e espero contribuir da melhor forma possível. Espero que seu final de contrato seja compensador e que novos horizontes se abram para você! Ao meu ver, ainda estamos procurando alguns membros do grupo, mas alguns já estão participando: 	Não Atribuído
12/08/2025 09:43	Teams - Arquivos	Adicionado Link para o Cronograma de TCC	Elysio	https://assets.univesp.br/cronograma/2025/cronograma_tcc_2.html	Gestão Acadêmica
12/08/2025 09:57	Teams - Plano	Criação do Project Plan	Elysio	Criação do Plano do Projeto - Quinzenas adicionadas	Não Atribuído
12/08/2025 13:30	Teams - Plano	Adicionados detalhes para o Project Plan	Elysio	Adicionadas as bibliografias, entregas, datas e outras informações de cada quinzena 	Não Atribuído
14/08/2025 12:00	Teams - Arquivos	Adicionado arquivo de CBO para CD	Elysio	Planilha com a descrição dos recursos, competências, áreas de atividade, formação e experiência e descrição sumária da ocupação de Cientista de Dados, de acordo com a CBO - Classificação Brasileira de Ocupações.	Não Atribuído
14/08/2025 12:00	Teams - Arquivos	Adicionado arquivo do PPC do curso	Elysio	PPC do curso adquirido no site da Univesp	Não Atribuído
14/08/2025 12:00	Teams - Arquivos	Adicionado arquivo dos perfis dos egressos	Elysio	Planilha do Perfil dos egressos de BTI e BCD	Não Atribuído
14/08/2025 12:00	Teams - Arquivos	Adicionado arquivo da lista das disciplinas	Elysio	Lista de disciplinas	Gestão Acadêmica
14/08/2025 12:00	Teams - Arquivos	Adicionado arquivo do conteúdo das disciplinas	Elysio	Planilha dos conteúdos das disciplinas (objetivos, ementas, semanas, bibliografias)	Gestão Acadêmica
14/08/2025 12:00	Teams - Arquivos	Adicionado arquivo das áreas de atuação de CD	Elysio	Planilha com as Áreas de atuação de Cientista de dados de acordo com o PPC	Não Atribuído
14/08/2025 12:30	Teams - Arquivos	Adicionado arquivo de análise de rúbricas	Elysio	Incluí a planilha de análise de rúbricas (requisitos do TCC) na pasta do plano do projeto, mas ainda precisa ser melhor processada para podermos fazer o plano	Não Atribuído
14/08/2025 12:45	Teams - Arquivos	Adicionado arquivo de indicação de temas	Elysio	Adicionado arquivo de indicação de temas para o TCC pela Univesp	Pesquisa Acadêmica
16/08/2025 14:30	Teams - Arquivos	Atualização de cadastro de propostas	Elysio	Cadastro de propostas convertido em tabela	Gestão da Proposta
16/08/2025 15:52	Fórum AVA	Pergunta sobre reuniões com a Orientadora	Elysio	Olá! Não teremos reuniões com a Orientadora?	Gestão Acadêmica
17/08/2025 15:12	Whatsapp	Envio de prompt e cadastro de propostas	Elysio	Envio das descrições das colunas da tabela de propostas com sugestão de prompt para pesquisa pelos membros	Gestão da Proposta
17/08/2025 17:44	Fórum AVA	Atualização  dos membros ativos e pergunta sobre reuniões	Elysio	Atualizando... Já estamos com 7 membros ativos, exceto o Weslley. Gostaria de confirmar se teremos reuniões com o orientador nesse TCC.	Não Atribuído
19/08/2025 20:00	Teams	Primeira reunião (videoconferência) dos membros	Todos	Apresentação dos membros, apresentação dos materiais, conversa sobre etapas e temas.	Gestão do TCC
19/08/2025 20:00	Planilha de RH	Atualização dos dados dos membros	Todos	Preenchimento dos campos faltantes e anotações sobre as competências e experiências da equipe.	Não Atribuído
21/08/2025 00:00	Planner	Adição da tarefa de Criação do Escopo do Projeto	Elysio	Adaptação dos processos de iniciação do PMBOK para uso específico no TCC, cuja saída principal é o Escopo do Projeto.	Gestão da Proposta
21/08/2025 19:15	Teams - Arquivos	Adição de arquivo de competições em IA	Elysio	Competições para 8 pessoas de Ciência de Dados com inscrições entre setembro e dezembro de 2025 compatíveis com o nosso TCC.	Não Atribuído
21/08/2025 19:15	Planner	Adição de competições às entradas do escopo	Elysio	Adição da tabela de competições em IA para entradas do projeto	Gestão da Proposta
21/08/2025 19:23	Planilha de Propostas	Adição de competições às propostas	Elysio	Criação de propostas de projeto relacionadas a competições, olimpíadas, etc.	Gestão da Proposta
21/08/2025 20:00	Planilha de Propostas	Adição de TCCs anteriores e externos às propostas	Elysio	Conversão de TCCs e afins às propostas para referência	Gestão Acadêmica
21/08/2025 13:52	Teams - Arquivos	Adição de pdfs de TCCs anteriores e externos 	Wesllei	Adição de arquivos PDF de TCCs de turmas anteriores da Univesp como inspirações para escolha do projeto e referência de formatação e layout	Gestão Acadêmica
22/08/2025 16:53	Planner	"Adição da tarefa de ""gestão de RH"""	Elysio	Tarefa de planejamento de RH para definição do plano do projeto - Disponibilidade e áreas.	Não Atribuído
22/08/2025 16:53	Whatsapp	Enquetes de Disponibilidade de horas/semana	Elysio	Membros definem quantas horas por semana estimam poder oferecer ao TCC.	Gestão do TCC
22/08/2025 16:53	Whatsapp	Enquetes de áreas Principal e Secundária	Elysio	Membros definem quais áreas preferenciais (principais e secundárias) para atuarem.	Gestão do TCC
23/08/2025 19:01	Fórum Teams	Postagem sobre discussão de propostas	Elysio	"E aí, turma! Tudo tranquilo? Pelo que vi, as propostas e comentários feitos antes da reunião não vão determinar apenas o tema do projeto, que é urgente. Porém, quase ""tudo o que você disser pode e será usado num tribunal"", digo, no trabalho escrito, pois é aqui que as ideias incipientes aparecem,. Além disso, o melhor jeito de melhorar uma ideia é malhando-a. Se alguém quiser ligar para um colega e bater papo sobre qualquer coisa, mesmo no privado, é o caminho. Mandem ideias - Bloco por bloco, vamos formando aspectos, parâmetros, teorias, referências, como módulos (ideias) a possíveis projetos maiores.  (PRINCIPAL CONTRIBUIÇÃO) Façam desdobramentos, raciocínios, estratégias - registremos e comparemos os algoritmos, as teorias e problemas que teremos que solucionar.  (Contribuição secundária) Comentem - enviem um simples ""gostei mais|menos desse do que daquele"" ou uma curtida, já ajuda a mapear melhor a qualidade das propostas para nós. (terciária) É o nosso envolvimento que gera o desenvolvimento Se pintar um interesse, curiosidade ou utilidade por alguma ideia, envolva-se...  Para quem gosta de competição, façam seu marketing, briguem, defendam suas ideias e pulem em cima dos comentários, lá é o play Para quem gosta de cooperação, contribuam com boas ideias e voluntariem-se para dar corpo à sua contribuição...  Em resumo:  Usemos o espaço abaixo ou novas postagens para sugerirmos ideias, comentarmos e discutirmos sobre as propostas."	Gestão do TCC
22/08/2025 16:53	Teams - Arquivos	Adição de resumos da quinzena 1	Edna	Resumos da quinzena 1 adicionados à pasta Acadêmico/Resumo Quinzenas	Formatação e Apresentação
31/08/2025 12:50	Enquete externa	Enquete para avaliação/eleição das propostas do TCC	Wesllei	Enquete: https://pollunit.com/polls/59telv4kmfw4cedcymdk5q	Gestão Acadêmica
18/09/2025 10:00	GitHub	Criação do repositório GitHub	Elysio	Repositório inicial do projeto sklearn_rl.	Desenvolvimento de Software
18/09/2025 10:30	GitHub	Realização de commits iniciais	Elysio	Primeiros commits com estrutura básica do projeto.	Desenvolvimento de Software
18/09/2025 11:00	Streamlit Community Cloud	Deploy inicial na Streamlit Community Cloud	Elysio	Publicação da primeira versão do aplicativo.	Desenvolvimento de Software
18/09/2025 12:00	Script Python	Cadastro de estimadores e parâmetros do Scikit-learn	Elysio	Extração e registro de estimadores e seus parâmetros da documentação oficial do Scikit-learn.	Desenvolvimento de Software
18/09/2025 13:00	Teams - Arquivos	Análise de TCCs anteriores de Ciência de Dados	Wesllei	Revisão e análise de TCCs de turmas anteriores para identificar temas, metodologias e formatação.	Pesquisa Acadêmica
18/09/2025 14:00	Teams - Arquivos	Cadastro de disciplinas e conteúdos	Elysio	Registro detalhado de todas as disciplinas do curso e seus conteúdos programáticos.	Pesquisa Acadêmica
17/09/2025 19:00	Videoconferência	Reunião com a orientadora	Todos	Discussão sobre o andamento do projeto e próximas etapas.	Gestão Acadêmica
18/09/2025 17:00	AVA	Prazo final para votação de escolha do projeto	Todos	Votação para decidir entre agente autônomo ou mapeamento de IA.	Gestão Acadêmica
18/09/2025 19:00	Videoconferência	Reunião da orientadora com o superior	Orientadora	Definição sobre a possibilidade de desenvolver dois projetos paralelos.	Gestão Acadêmica
